기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 해남
기간 : 20160101~20200928

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-05-23,261,21.2,15.1,26.3
2016-05-24,261,18,14.5,20.7
2016-05-25,261,19.2,14.2,25.9
2016-05-26,261,20.1,13.7,26.9
2016-05-27,261,21.3,16.9,27.9
2016-05-28,261,19.1,16.6,25.1
2016-05-29,261,18.9,16.1,24.9
2016-05-30,261,21.1,14.9,28.1
2016-05-31,261,19.9,14.8,25.6
2016-06-01,261,21.5,17,27
2016-06-02,261,19.5,14.3,25.4
2016-06-03,261,20.6,12,27.6
2016-06-04,261,17.9,15.4,20.2
2016-06-05,261,20.2,14.8,24.6
2016-06-06,261,20.2,18.5,22.5
2016-06-07,261,20.4,17.4,23.1
2016-06-08,261,20.9,16.8,25.8
2016-06-09,261,21.8,17.8,28.6
2016-06-10,261,22.2,19.6,26.7
2016-06-11,261,22.7,19.6,27.3
2016-06-12,261,23.6,21.5,26.2
2016-06-13,261,22.9,19.6,28.1
2016-06-14,261,21.7,17.6,27.2
2016-06-15,261,22.6,18,25.6
2016-06-16,261,20.8,18,23.4
2016-06-17,261,21.4,15.4,28.3
2016-06-18,261,22.1,16.1,28
2016-06-19,261,24,21.7,29.2
2016-06-20,261,22.8,20.6,25.2
2016-06-21,261,24.1,21.6,29.3
2016-06-22,261,22.5,21.5,23.6
2016-06-23,261,24.2,21.6,29
2016-06-24,261,22.7,20.6,25.7
2016-06-25,261,22.5,19.6,27.3
2016-06-26,261,23.2,18.7,29.3
2016-06-27,261,19.9,16.8,24.3
2016-06-28,261,21.1,18.2,24.3
2016-06-29,261,21.8,19.8,23.9
2016-06-30,261,23.6,21,27.9
2016-07-01,261,24.6,22.2,25.8
2016-07-02,261,22.9,21.5,25.4
2016-07-03,261,21.5,20.3,23.3
2016-07-04,261,25.9,23,28.4
2016-07-05,261,27.6,24.8,30.7
2016-07-06,261,25.5,24.1,27.9
2016-07-07,261,26.7,23.6,31.8
2016-07-08,261,26.3,22.2,30.5
2016-07-09,261,26.1,21.5,31.9
2016-07-10,261,24.7,21.4,28
2016-07-11,261,25,23.1,29.6
2016-07-12,261,23,22,24.4
2016-07-13,261,25.4,22.2,30
2016-07-14,261,24.8,20.4,28.8
2016-07-15,261,24.5,20.4,28.2
2016-07-16,261,23.4,22.1,26.9
2016-07-17,261,24.2,20.1,28.5
2016-07-18,261,24,18.5,30
2016-07-19,261,25.5,21.2,29.8
2016-07-20,261,25.5,22.5,30
2016-07-21,261,25,22.4,29.1
2016-07-22,261,25.2,22.5,29.2
2016-07-23,261,26.1,22.5,30.7
2016-07-24,261,27.9,23.9,32.8
2016-07-25,261,27.9,23.5,33
2016-07-26,261,28,23.4,32.9
2016-07-27,261,28.4,24.4,32.5
2016-07-28,261,29.6,27.7,33.2
2016-07-29,261,29.5,26,34.5
2016-07-30,261,29.1,25.6,33.8
2016-07-31,261,28.9,24.4,34.6
2016-08-01,261,28,22.9,35.7
2016-08-02,261,26.9,22.5,32.5
2016-08-03,261,26.8,23.5,32.6
2016-08-04,261,28.2,23.8,33.3
2016-08-05,261,28.1,22.5,33.9
2016-08-06,261,28.3,22.3,34.7
2016-08-07,261,28.1,23.5,34.7
2016-08-08,261,28.5,22.6,35.8
2016-08-09,261,28.7,23.6,34.3
2016-08-10,261,28.8,24.2,35.8
2016-08-11,261,29.4,24.2,37.1
2016-08-12,261,29.2,23.2,36.7
2016-08-13,261,29.2,23,36
2016-08-14,261,29.1,24.4,34.6
2016-08-15,261,27.8,24.3,33
2016-08-16,261,27.6,23.1,33.5
2016-08-17,261,27.2,21.3,33.6
2016-08-18,261,28.2,23.2,34.4
2016-08-19,261,29,22.6,35.7
2016-08-20,261,28.2,23.6,34.8
2016-08-21,261,28.3,22.6,35.4
2016-08-22,261,28.3,23.3,34.4
2016-08-23,261,28,22.7,33.8
2016-08-24,261,27.4,22.2,35.4
2016-08-25,261,27.3,19.8,35
2016-08-26,261,24.6,21.5,32.4
2016-08-27,261,22.2,20,26
2016-08-28,261,20.8,16.9,26
2016-08-29,261,22.4,18.1,27.2
2016-08-30,261,23,19.4,27.1
2016-08-31,261,24.4,19.8,29
2016-09-01,261,26.1,23.1,30.7
2016-09-02,261,21.4,19.1,25.6
2016-09-03,261,23.9,17.3,30.8
2016-09-04,261,25.4,20.7,31
2016-09-05,261,25,20.5,30.8
2016-09-06,261,22.4,18.7,26.3
2016-09-07,261,23.2,20.4,27.4
2016-09-08,261,22.6,17,29.6
2016-09-09,261,23,17.5,29.8
2016-09-10,261,21.5,15.5,30.3
2016-09-11,261,23,17.4,28.5
2016-09-12,261,21.9,17.9,28.4
2016-09-13,261,22.3,16.1,30.5
2016-09-14,261,22.4,17.8,28
2016-09-15,261,23,16.8,30.2
2016-09-16,261,21.7,20,23.9
2016-09-17,261,23.4,20.6,26.6
2016-09-18,261,22.4,19.9,25.2
2016-09-19,261,21.6,18.8,26.1
2016-09-20,261,19.4,14.4,26
2016-09-21,261,19.6,13.2,26.1
2016-09-22,261,19.7,14.7,26.7
2016-09-23,261,19.9,14,26.4
2016-09-24,261,20.3,14.3,27.6
2016-09-25,261,21,14.7,27
2016-09-26,261,23.7,19,27.9
2016-09-27,261,25.7,22.1,30.8
2016-09-28,261,21.5,20.2,23.7
2016-09-29,261,20.3,18.8,22.6
2016-09-30,261,18.3,17.3,19.5
2016-10-01,261,20.5,18.2,22.9
2016-10-02,261,23,21,26.1
2016-10-03,261,24.1,20.5,27.7
2016-10-04,261,23.5,18.3,29.6
2016-10-05,261,21.1,18.1,25.2
2016-10-06,261,19.1,13.4,25.4
2016-10-07,261,19,13.1,21.8
2016-10-08,261,18.4,15.3,20.3
2016-10-09,261,13.8,8.8,18.1
2016-10-10,261,13.2,7.8,19.4
2016-10-11,261,14.4,10.3,20.1
2016-10-12,261,16.9,10.4,22.3
2016-10-13,261,14.4,11.5,18.7
2016-10-14,261,15.1,9.1,25.3
2016-10-15,261,16.9,8,24.1
2016-10-16,261,17.9,15,20.2
2016-10-17,261,19.2,14.6,23.8
2016-10-18,261,16.9,11.4,24.1
2016-10-19,261,17.2,12.3,24.3
2016-10-20,261,17.2,13.4,21.2
2016-10-21,261,17.7,16.7,19.6
2016-10-22,261,17,14.7,22
2016-10-23,261,17.7,15.2,21.6
2016-10-24,261,16.8,14.1,20.3
2016-10-25,261,16.8,10.5,20.8
2016-10-26,261,13.1,8,18.5
2016-10-27,261,15.6,8,21.8
2016-10-28,261,14.9,14.1,17.6
2016-10-29,261,11.5,8.2,15.2
2016-10-30,261,8.5,2.8,15.6
2016-10-31,261,9.1,3.4,12.8
2016-11-01,261,6.7,2.4,10
2016-11-02,261,6.1,1,12.6
2016-11-03,261,7.5,0.6,16.2
2016-11-04,261,8.6,0.4,18.1
2016-11-05,261,12,4.3,21.3
2016-11-06,261,13.3,5.6,21.1
2016-11-07,261,15,11.5,19
2016-11-08,261,8.9,5.8,14.8
2016-11-09,261,4.7,1.6,10.6
2016-11-10,261,6.7,2.8,11.1
2016-11-11,261,8.1,1.8,16.4
2016-11-12,261,10.1,0,19.9
2016-11-13,261,14.2,7.2,19.6
2016-11-14,261,16.2,14.4,18.9
2016-11-15,261,9.9,2.2,14.7
2016-11-16,261,6.2,-1.8,16.3
2016-11-17,261,9.5,2.4,18.7
2016-11-18,261,13.6,6.3,16.8
2016-11-19,261,15.3,13.9,16.5
2016-11-20,261,12.8,7.6,18.3
2016-11-21,261,14.1,7.8,18
2016-11-22,261,7.7,4.5,12.9
2016-11-23,261,4,1.3,7.1
2016-11-24,261,3.1,-1,7
2016-11-25,261,3.5,-1.8,9.5
2016-11-26,261,2.6,-3,6.1
2016-11-27,261,6,1.9,10.9
2016-11-28,261,6.5,2.6,9.2
2016-11-29,261,4.7,-1.5,10.7
2016-11-30,261,4.5,-0.9,12.8
2016-12-01,261,7.5,2.3,11.7
2016-12-02,261,3.8,-2.1,9.6
2016-12-03,261,1.9,-5,12.7
2016-12-04,261,5.5,0.6,12
2016-12-05,261,7.9,1.3,15.3
2016-12-06,261,2.8,-4.1,7.5
2016-12-07,261,2.7,-5.5,12.6
2016-12-08,261,3.6,-3.4,12.4
2016-12-09,261,6.5,2,10.5
2016-12-10,261,2.5,-1.8,7.1
2016-12-11,261,2.3,-6.6,9
2016-12-12,261,6.8,-0.8,14.4
2016-12-13,261,6.7,3.9,10.1
2016-12-14,261,3.5,2.4,5.1
2016-12-15,261,1.7,0.3,3.6
2016-12-16,261,0.4,-4.3,4.7
2016-12-17,261,2.4,-5.1,10.7
2016-12-18,261,6,-4.8,15
2016-12-19,261,11.1,8,12.5
2016-12-20,261,8.6,3,13.7
2016-12-21,261,14.1,9.3,19.1
2016-12-22,261,8.2,5.2,18.8
2016-12-23,261,3.3,1.9,5.4
2016-12-24,261,2.7,-1.1,5.9
2016-12-25,261,3.5,-4.7,11
2016-12-26,261,6.5,4.2,8.8
2016-12-27,261,2.4,-1,5.4
2016-12-28,261,0.2,-2.4,5
2016-12-29,261,0,-3.6,2.5
2016-12-30,261,0.3,-4.3,5
2016-12-31,261,1.8,-6.2,8.4
2017-01-01,261,3.2,-2.6,11.1
2017-01-02,261,7.3,0.2,13.4
2017-01-03,261,4,-2.2,9.9
2017-01-04,261,3.2,-4.3,11.2
2017-01-05,261,6.1,0.6,10.2
2017-01-06,261,6.4,-0.1,12.4
2017-01-07,261,6.8,-1,10.8
2017-01-08,261,7.9,5.8,12.5
2017-01-09,261,4.7,0.9,7.5
2017-01-10,261,2.7,0.2,5.8
2017-01-11,261,0.3,-2.6,3.4
2017-01-12,261,1,-5.3,6.6
2017-01-13,261,0.5,-5,7.4
2017-01-14,261,-1.9,-3.7,0.1
2017-01-15,261,-3.7,-7.1,1.8
2017-01-16,261,-1.9,-8,4.3
2017-01-17,261,-2.2,-8.2,6.2
2017-01-18,261,1.9,-6,6.8
2017-01-19,261,-0.3,-4.5,5.4
2017-01-20,261,-0.4,-3.3,2.7
2017-01-21,261,0.4,-3.5,3
2017-01-22,261,-0.7,-2.5,2.5
2017-01-23,261,-2.8,-5.3,0.4
2017-01-24,261,-1.6,-5.7,3.1
2017-01-25,261,-1.7,-7.9,4.1
2017-01-26,261,-1.1,-9.5,8
2017-01-27,261,1.9,-4.1,8.5
2017-01-28,261,1.7,-10.4,12.1
2017-01-29,261,7.9,3.6,13.2
2017-01-30,261,0,-3.2,3.5
2017-01-31,261,-1.3,-5.4,4.7
2017-02-01,261,0,-3.3,5.3
2017-02-02,261,-0.4,-4.4,5.8
2017-02-03,261,1.5,-7,9.3
2017-02-04,261,6,1.6,11.9
2017-02-05,261,5,3.3,6.2
2017-02-06,261,1.6,-1.6,4.3
2017-02-07,261,1.2,-3.9,7.6
2017-02-08,261,1.3,-3.8,3.8
2017-02-09,261,-1.2,-3.4,2
2017-02-10,261,-3.1,-4.4,-1
2017-02-11,261,-1.3,-3.6,1.6
2017-02-12,261,-0.2,-4.9,5.2
2017-02-13,261,1.2,-8.4,8.5
2017-02-14,261,2.8,-2.8,7.4
2017-02-15,261,1,-8.2,12.6
2017-02-16,261,7.1,-6.7,15.2
2017-02-17,261,4.3,-0.9,12.7
2017-02-18,261,-0.3,-6.6,4.7
2017-02-19,261,4.6,-9.1,12.9
2017-02-20,261,2.9,-2.4,13.1
2017-02-21,261,2.4,-6.8,9.9
2017-02-22,261,6.6,2.7,10.5
2017-02-23,261,1.4,-1,4.6
2017-02-24,261,0.6,-5.2,6.5
2017-02-25,261,1.1,-5.9,9.3
2017-02-26,261,2.4,-5,10.2
2017-02-27,261,1.4,-6.5,11.4
2017-02-28,261,2.6,-7.4,13.4
2017-03-01,261,5.9,-2.4,14.4
2017-03-02,261,2,-3.6,5.3
2017-03-03,261,2.7,-7.4,12.3
2017-03-04,261,4.7,-3.8,13.8
2017-03-05,261,5.3,-3,14.7
2017-03-06,261,2.5,-2.9,6.6
2017-03-07,261,-1,-6.6,4.9
2017-03-08,261,2.6,-0.6,7
2017-03-09,261,5.3,-1.9,11.6
2017-03-10,261,5.1,-3.2,14
2017-03-11,261,4.9,-6.4,17
2017-03-12,261,7.9,-5,17.7
2017-03-13,261,6.9,3.9,12.9
2017-03-14,261,4.6,-1.2,10.2
2017-03-15,261,3.7,-4.6,12.2
2017-03-16,261,3.8,-4.7,13.2
2017-03-17,261,4.2,-7.1,15.4
2017-03-18,261,5.8,-2.8,16.8
2017-03-19,261,7.1,-4.9,19.4
2017-03-20,261,7.8,1.7,11.8
2017-03-21,261,6.3,2.5,9.6
2017-03-22,261,6.2,-1.4,13.8
2017-03-23,261,7.6,3.3,14.6
2017-03-24,261,7.5,-1.3,13.7
2017-03-25,261,6.5,2.4,9.8
2017-03-26,261,5.1,-1.9,11.4
2017-03-27,261,6.2,-0.1,11.7
2017-03-28,261,6.5,-3.5,14.4
2017-03-29,261,8.9,5.4,13.1
2017-03-30,261,9.7,0.9,18.5
2017-03-31,261,8.5,4.6,14.3
2017-04-01,261,7.7,1.7,13.4
2017-04-02,261,6.5,-1.3,15.6
2017-04-03,261,8.2,-3.3,18.9
2017-04-04,261,11.4,0,21.5
2017-04-05,261,15.2,12.4,17.8
2017-04-06,261,12.9,9.6,17.2
2017-04-07,261,13.2,8.2,21.2
2017-04-08,261,12.3,6.6,22.6
2017-04-09,261,12.9,7.7,19.7
2017-04-10,261,14.4,11.6,20.1
2017-04-11,261,11.4,8.7,16.3
2017-04-12,261,10.9,2,18.6
2017-04-13,261,9.9,-0.5,19.5
2017-04-14,261,14.5,3.6,20.4
2017-04-15,261,17.6,11.2,24.4
2017-04-16,261,18.3,12.8,26.4
2017-04-17,261,14.7,10.5,18.2
2017-04-18,261,12.8,6.6,18.9
2017-04-19,261,12.3,5.3,18.7
2017-04-20,261,11.1,4.5,19.4
2017-04-21,261,13.2,7.3,20.9
2017-04-22,261,12,4.1,20.9
2017-04-23,261,11.8,3,22.5
2017-04-24,261,13.4,1.5,22.5
2017-04-25,261,16.5,8,22.6
2017-04-26,261,14.8,8.6,20.4
2017-04-27,261,11.5,3.8,18.9
2017-04-28,261,12.7,1.8,22.9
2017-04-29,261,15.3,4.1,25.1
2017-04-30,261,17.1,8.7,25.9
2017-05-01,261,16.7,7.8,26.9
2017-05-02,261,17.3,10,24.2
2017-05-03,261,16.4,6.1,26.1
2017-05-04,261,18.3,9.6,25.2
2017-05-05,261,17.6,15.1,20.3
2017-05-06,261,15.7,7.8,23.5
2017-05-07,261,15.3,4.5,24.6
2017-05-08,261,16,6.4,25.5
2017-05-09,261,13.8,11.9,15.3
2017-05-10,261,14.6,10.3,19.1
2017-05-11,261,20.3,9.8,27.8
2017-05-12,261,18.2,12.4,22.2
2017-05-13,261,17.1,10.9,25.2
2017-05-14,261,16,9.8,22.5
2017-05-15,261,14.4,6.8,21.8
2017-05-16,261,15.5,9.1,23.5
2017-05-17,261,16.6,8.2,25.7
2017-05-18,261,18.3,8.6,28.2
2017-05-19,261,18.6,9.4,28.8
2017-05-20,261,18.3,9.8,26.9
2017-05-21,261,18.8,11,27.8
2017-05-22,261,20.1,12.4,28.2
2017-05-23,261,19.9,12.4,26.7
2017-05-24,261,20.5,15.4,26.8
2017-05-25,261,19.1,12.1,28.3
2017-05-26,261,16.3,10.7,21.6
2017-05-27,261,16.6,7.6,25.5
2017-05-28,261,18.8,10,27.2
2017-05-29,261,21.3,12.6,29.6
2017-05-30,261,21.6,13.5,31.8
2017-05-31,261,21.9,17,26.2
2017-06-01,261,20.8,14.9,26.9
2017-06-02,261,18.7,11.2,26.4
2017-06-03,261,19.4,12.5,26.1
2017-06-04,261,19.6,9.1,28.3
2017-06-05,261,20.9,12.5,30.4
2017-06-06,261,18.7,16.5,20.4
2017-06-07,261,18.1,16.1,20.2
2017-06-08,261,19.6,15.4,25.4
2017-06-09,261,20.7,14.8,27.6
2017-06-10,261,21.9,19.4,25.7
2017-06-11,261,20.9,17.9,26.4
2017-06-12,261,19.1,16.1,23.5
2017-06-13,261,20,15.4,26.9
2017-06-14,261,20,12.6,27.3
2017-06-15,261,21.5,15.2,28.6
2017-06-16,261,21.8,14.8,29.4
2017-06-17,261,22.9,17.5,30.2
2017-06-18,261,23.2,15.8,32.2
2017-06-19,261,23.3,15.5,32.2
2017-06-20,261,21.8,18.9,25.3
2017-06-21,261,22.5,18.2,27.9
2017-06-22,261,23.8,18.6,30.5
2017-06-23,261,23.7,18.4,31.3
2017-06-24,261,23,18.3,27.7
2017-06-25,261,23.2,18.6,28.5
2017-06-26,261,23.6,21.4,26.9
2017-06-27,261,23.3,20.6,27.8
2017-06-28,261,24,19.3,29.8
2017-06-29,261,22.3,20.5,25.1
2017-06-30,261,24.8,21.6,28.5
2017-07-01,261,26.5,23.9,29.9
2017-07-02,261,27.2,25.6,29.1
2017-07-03,261,26.4,25,28.3
2017-07-04,261,25.9,24.3,28.2
2017-07-05,261,28,24.6,32.7
2017-07-06,261,24.6,22.3,27
2017-07-07,261,27.5,23.9,30.4
2017-07-08,261,25.9,22.9,29.2
2017-07-09,261,27,23.2,29.8
2017-07-10,261,26.8,23.9,28.1
2017-07-11,261,24.8,21.7,28.6
2017-07-12,261,25.6,21.5,31.5
2017-07-13,261,26.8,21.9,32.1
2017-07-14,261,28,23.9,32
2017-07-15,261,28,26.5,29.5
2017-07-16,261,28.6,25.3,32.4
2017-07-17,261,27.5,25.8,30.2
2017-07-18,261,24.9,23.2,27.8
2017-07-19,261,27.2,23.5,32.9
2017-07-20,261,28.9,23.4,34.8
2017-07-21,261,29.1,25.5,34
2017-07-22,261,28.4,25.3,32.5
2017-07-23,261,28.6,25,32.1
2017-07-24,261,29.2,25.1,34.3
2017-07-25,261,28,25.2,32.5
2017-07-26,261,26.4,21.7,31.4
2017-07-27,261,26.2,21.1,31.9
2017-07-28,261,27.2,20.7,33.4
2017-07-29,261,28,25.2,32.4
2017-07-30,261,27.6,24.7,31.8
2017-07-31,261,27.4,25,31.1
2017-08-01,261,28.9,25.2,33.8
2017-08-02,261,28.3,25.4,32.6
2017-08-03,261,28.2,24.4,32.2
2017-08-04,261,29.3,24.6,35.3
2017-08-05,261,29.8,23.9,37.2
2017-08-06,261,29.8,23.8,37.2
2017-08-07,261,29.6,25.6,35.3
2017-08-08,261,27.8,24.4,34.1
2017-08-09,261,27,24.2,32.3
2017-08-10,261,27,22.1,32.3
2017-08-11,261,27.2,20.8,34.5
2017-08-12,261,27.1,23.5,31.6
2017-08-13,261,24.7,22.8,26.3
2017-08-14,261,24.8,22.8,27.5
2017-08-15,261,25.8,24,30
2017-08-16,261,26,22.3,31.1
2017-08-17,261,25.4,21.1,30.6
2017-08-18,261,25.9,21.2,32
2017-08-19,261,25.5,20.8,28.2
2017-08-20,261,27.1,24.9,31.2
2017-08-21,261,26.8,23.5,31.8
2017-08-22,261,27.4,23.6,33.3
2017-08-23,261,29.3,24.2,33.7
2017-08-24,261,29.3,27.1,32.2
2017-08-25,261,27.7,23.1,32.6
2017-08-26,261,24.7,17.1,30.9
2017-08-27,261,22.8,14.6,30.3
2017-08-28,261,25.4,17.5,31.6
2017-08-29,261,23.9,16.6,28.2
2017-08-30,261,20.5,15.3,27.7
2017-08-31,261,23,16.4,28.6
2017-09-01,261,22.6,18.1,30.1
2017-09-02,261,21,15.8,25.6
2017-09-03,261,21.6,14.9,28.1
2017-09-04,261,22.9,19,27
2017-09-05,261,22.2,21,23.5
2017-09-06,261,22.2,20.2,23.7
2017-09-07,261,21.3,18.6,26.2
2017-09-08,261,21.8,16.8,29.1
2017-09-09,261,21.9,16.2,29.8
2017-09-10,261,23.1,16,29
2017-09-11,261,23.7,20.3,26.8
2017-09-12,261,23,17.7,28.8
2017-09-13,261,20.5,12.9,28.7
2017-09-14,261,21.3,12.6,28.4
2017-09-15,261,21.7,18.7,24.7
2017-09-16,261,21.2,17.2,26
2017-09-17,261,21.7,17,28.2
2017-09-18,261,20.9,15,27.7
2017-09-19,261,22.8,18.2,27.8
2017-09-20,261,20.1,15,23.9
2017-09-21,261,18.2,10.2,26.3
2017-09-22,261,20.2,15,28
2017-09-23,261,20.3,15,27.3
2017-09-24,261,20.8,16.2,29.1
2017-09-25,261,21.8,14.4,29.2
2017-09-26,261,23.9,19.9,28.4
2017-09-27,261,21.4,19.6,24.3
2017-09-28,261,20.8,13.9,26.4
2017-09-29,261,17.1,10.9,23.2
2017-09-30,261,17.9,8.2,28.1
2017-10-01,261,19.5,15,22.8
2017-10-02,261,21.9,19.7,24.5
2017-10-03,261,19,16.2,24.9
2017-10-04,261,18.7,13.5,24.2
2017-10-05,261,17.8,15.6,20.8
2017-10-06,261,17,15.2,19
2017-10-07,261,20,14.6,26.1
2017-10-08,261,20.1,14.7,28
2017-10-09,261,20.5,14,28.3
2017-10-10,261,21.5,15.3,28.9
2017-10-11,261,17.7,14.2,22.1
2017-10-12,261,13,10.5,15.1
2017-10-13,261,14.5,9.6,20.1
2017-10-14,261,15.7,10.8,21.5
2017-10-15,261,16,12.2,19.1
2017-10-16,261,16.6,13.4,21.4
2017-10-17,261,15.9,11.2,22.4
2017-10-18,261,17.2,13.5,20
2017-10-19,261,14.7,9.7,21.2
2017-10-20,261,14.8,6.8,23.6
2017-10-21,261,14.7,8.3,23.8
2017-10-22,261,14.7,6,23.2
2017-10-23,261,12.3,5,20.7
2017-10-24,261,12.4,6.4,20.4
2017-10-25,261,11,3.5,19.9
2017-10-26,261,11.5,4.4,21.6
2017-10-27,261,12.6,5.2,22.7
2017-10-28,261,14.3,5.5,23.2
2017-10-29,261,13,9,18.4
2017-10-30,261,9.8,5.3,14.4
